t,q,sales,adv (bn),adv_adj,steve,iMac,iPhone,air,MBPro
1,Q1 '06,"1,254",0.338,1690,0,1,0,0,1
2,Q2 '06,"1,112",0.338,1690,0,0,0,0,1
3,Q3 '06,"1,327",0.338,1690,0,0,0,0,0
4,Q4 '06,"1,610",0.338,1690,0,0,0,0,1
5,Q1 '07,"1,606",0.467,2335,0,0,0,0,0
6,Q2 '07,"1,517",0.467,2335,0,0,1,0,1
7,Q3 '07,"1,764",0.467,2335,0,1,0,0,0
8,Q4 '07,"2,164",0.467,2335,0,0,0,0,1
9,Q1 '08,"2,319",0.486,2430,0,0,0,1,1
10,Q2 '08,"2,289",0.486,2430,0,0,0,0,0
11,Q3 '08,"2,496",0.486,2430,0,0,1,0,0
12,Q4 '08,"2,611",0.486,2430,0,0,0,1,1
13,Q1 '09,"2,524",0.501,2505,0,0,0,0,1
14,Q2 '09,"2,216",0.501,2505,0,0,1,0,1
15,Q3 '09,"2,603",0.501,2505,0,0,0,0,0
16,Q4 '09,"3,053",0.501,2505,0,1,0,0,0
17,Q1 '10,"3,362",0.691,3455,0,0,0,0,0
18,Q2 '10,"2,943",0.691,3455,0,0,1,0,1
19,Q3 '10,"3,472",0.691,3455,0,0,0,0,0
20,Q4 '10,"3,885",0.691,3455,0,0,0,1,0
21,Q1 '11,"4,134",0.933,4665,0,0,0,0,1
22,Q2 '11,"3,760",0.933,4665,0,0,0,0,0
23,Q3 '11,"3,947",0.933,4665,0,0,0,1,0
24,Q4 '11,"4,894",0.933,4665,1,0,1,0,1
25,Q1 '12,"5,198",1,5000,0.796919388,0,0,0,0
26,Q2 '12,"4,017",1,5000,0.796919129,0,0,1,1
27,Q3 '12,"4,020",1,5000,0.796919129,0,1,0,0
28,Q4 '12,"4,923",1,5000,0.796919129,1,0,0,1
29,Q1 '13,"4,061",1.1,5500,0.796919129,0,0,0,1
30,Q2 '13,"3,952",1.1,5500,0.796919129,0,0,1,0
31,Q3 '13,"3,754",1.1,5500,0.796919129,0,1,0,0
32,Q4 '13,"4,574",1.1,5500,0.796919129,0,0,0,1
33,Q1 '14,"4,837",1.2,6000,0.796919129,0,0,0,0
34,Q2 '14,"4,136",1.2,6000,0.796919129,0,0,1,0
35,Q3 '14,"4,413",1.2,6000,0.796919129,0,1,0,1
36,Q4 '14,"5,520",1.2,6000,0.796919129,1,0,0,0
37,Q1 '15,"5,519",1.8,9000,0.796919129,0,0,1,1
38,Q2 '15,"4,563",1.8,9000,0.796919129,0,0,0,1
39,Q3 '15,"4,796",1.8,9000,0.796919129,0,1,0,0
40,Q4 '15,"5,709",1.8,9000,0.796919129,0,0,0,0
